Age,Accu,PureAccu,RepAccu,SwiAccu,PureRT,RepRT,SwiRT,V2Vp,A2Vp,A2Ap,V2Ap,Vonlyp,Aonlyp,V2Vr,A2Vr,A2Ar,V2Ar,Vonlyr,Aonlyr,V2Vr,A2Vr,A2Ar,V2Ar,Vonlyr,Aonlyr,MSEvp,MSEap,MSEvr,MSEar,MSEvs,MSEas,PureYesPrime,PureYesUnprimed,RepYesPrime,RepYesUnprimed,SwiYesPrime,SwiYesUnprimed,PureComm,RepComm,SwiComm,PureOm,RepOm,SwiOm,PureCommRT,RepCommRT,SwiCommRT,PureNoPrimeErr,PureNoUnprimedErr,RepNoPrimeErr,RepNoUnprimedErr,SwiNoPrimeErr,SwiNoUnprimedErr,PureRspRep,PureRspSing,RepRspRep,RepRspSing,SwiRspRep,SwiRspSing
A,95.2703,94.4444,96,100,1148.961,1571.5351,1388.6,1177.5433,990.27,1081.16,1130.7283,1248.385,NaN,1725.7,1814.8,1455.0733,1912.6333,1353.5763,NaN,1252.2,1804.8,1655,1038.2,1275.25,NaN,-187.2733,49.5683,89.1,457.56,552.6,-616.8,1202.0917,1078.12,1517.1771,1628.2565,1191.26,1487.27,0,0.026667,0,0.055556,0.013333,0,NaN,2032.45,NaN,0,0,0,0.052632,0,0,1077.4786,1291.9257,1631.2755,1455.7881,1510.639,1144.522
A,100,100,100,100,974.4652,808.4804,901.5987,794.645,886.175,935.25,1100.0667,1051.682,NaN,729.2414,744.8333,880.8614,773.5333,764.3213,NaN,632.42,1039.76,940.035,1877,738.02,NaN,91.53,164.8167,15.5919,-107.3281,407.34,936.965,936.5121,1033.5033,773.3196,846.6987,1101.242,801.777,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,954.5635,1030.8533,761.5967,886.62,927.2155,831.1525
A,99.3243,100,98.6667,100,663.8957,648.3898,771.108,649.4225,569.585,612.01,712.5783,602.664,NaN,557.8514,689.7717,707.1786,656.2933,651.0625,NaN,694.3,664.56,1297.975,705.17,642.7,NaN,-79.8375,100.5683,131.9202,-50.8852,-29.74,-592.805,652.6493,681.39,631.3516,666.9096,783.216,765.054,0,0.013333,0,0,0,0,NaN,632.8,NaN,0,0,0,0.026316,0,0,651.3165,699.5367,637.9793,665.7406,772.9827,765.9525
A,100,100,100,100,747.6696,697.231,769.27,647.135,999.905,689.628,809.445,687.678,NaN,575.95,722.2533,726.57,772.0033,723.14,NaN,803.23,1000.2367,765.735,1087.2,625.57,NaN,352.77,119.817,146.3033,45.4333,197.0067,321.465,684.6707,845.6678,646.2848,752.6074,860.45,723.68,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,758.4212,717.2067,663.1937,753.96,815.7836,641.3575
A,97.973,100,100,88,911.613,874.5908,738.1353,720.2675,916.86,905.602,1025.6217,770.714,NaN,740.2714,1012.9633,1036.2286,908.9567,673.5263,NaN,892.25,639.0133,842.615,894.73,750.525,NaN,196.5925,120.0197,272.6919,-127.2719,-253.2367,52.115,870.3693,975.77,811.6604,942.9935,786.248,714.079,0,0,0.12,0,0,0,NaN,NaN,1457.3533,0,0,0,0,0,0.17647,905.6782,928.4283,937.6258,735.914,726.7873,769.3425
A,100,100,100,100,751.8383,618.6223,654.2307,652.4825,613.09,794.822,883.1083,692.644,NaN,498.5843,591.82,588.4086,607.36,692.28,NaN,583.74,688.6433,639.355,1002,576.765,NaN,-39.3925,88.2863,93.2357,18.9514,104.9033,362.645,724.0329,795.0911,568.3964,673.2157,725.388,618.652,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,771.11,697.235,561.0303,714.6089,671.38,607.07
A,99.3243,100,98.6667,100,799.4743,941.0648,926.1413,789.6725,747.3,840.222,806.79,772.494,NaN,883.3986,959.6983,988.7257,979.5,897.0262,NaN,818.34,990.1633,1348.46,975.58,947.985,NaN,-42.3725,-33.432,76.2998,-9.2257,171.8233,-372.88,818.4379,769.9756,905.9188,979.267,859.89,959.267,0,0.013333,0,0,0,0,NaN,829.53,NaN,0,0,0.027027,0,0,0,805.5965,782.1283,933.5083,953.6589,951.5591,856.2425
A,99.3243,100,98.6667,100,774.6052,976.3974,848.4673,806.975,682.4,708.442,966.26,646.968,NaN,925.0471,772.6633,969.7729,704.9167,953.7562,NaN,622.02,951.4467,968.765,820.74,949.73,NaN,-124.575,257.818,-152.3838,-264.8562,329.4267,-148.025,720.1164,859.3656,898.7971,1057.3717,931.334,807.034,0,0,0,0,0.013333,0,NaN,NaN,NaN,0,0,0,0,0,0,819.5571,647.2417,855.3579,1171.4056,865.6391,801.245
A,100,100,100,100,1026.8796,814.404,872.7447,986.22,791.645,862.71,1430.4683,789.26,NaN,749.8686,982.6783,785.41,947.5367,782.11,NaN,656.69,1205.2367,575.42,840.12,1117.025,NaN,-194.575,567.7583,232.8098,162.1267,548.5467,264.7,914.8307,1201.1778,750.2292,884.1591,983.492,817.371,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,1083.7959,865.6167,804.749,830.4956,804.4218,1060.6325
A,95.9459,88.8889,100,100,897.4135,1049.6126,1081.8625,777.1,1067.3367,NaN,767.085,749.554,NaN,1222.1133,905.3657,940.725,1237.0262,800.02,NaN,NaN,811.35,NaN,1333.7,852.6125,NaN,290.2367,NaN,-316.7476,296.3012,NaN,NaN,910.8022,882.3512,887.214,1169.9078,867.7738,1295.9513,0,0,0,0.11111,0,0,NaN,NaN,NaN,0,0,0,0,0,0,821.9475,964.4944,994.2757,1147.2659,1300.4962,863.2288
