Age,Accu,PureAccu,RepAccu,SwiAccu,PureRT,RepRT,SwiRT,V2Vp,A2Vp,A2Ap,V2Ap,Vonlyp,Aonlyp,V2Vr,A2Vr,A2Ar,V2Ar,Vonlyr,Aonlyr,V2Vr,A2Vr,A2Ar,V2Ar,Vonlyr,Aonlyr,MSEvp,MSEap,MSEvr,MSEar,MSEvs,MSEas,PureYesPrime,PureYesUnprimed,RepYesPrime,RepYesUnprimed,SwiYesPrime,SwiYesUnprimed,PureComm,RepComm,SwiComm,PureOm,RepOm,SwiOm,PureCommRT,RepCommRT,SwiCommRT,PureNoPrimeErr,PureNoUnprimedErr,RepNoPrimeErr,RepNoUnprimedErr,SwiNoPrimeErr,SwiNoUnprimedErr,PureRspRep,PureRspSing,RepRspRep,RepRspSing,SwiRspRep,SwiRspSing
6,95.2703,97.2222,98.6667,80,943.3261,945.3015,886.6347,922.43,883.03,989.542,814.9083,1034.112,NaN,711.7614,959.3133,1112.0514,995.31,849.0812,NaN,997.74,1011.51,737.345,892.19,860.5,NaN,-39.4,-174.6337,247.5519,-116.7414,13.77,154.845,1007.485,843.5233,849.3968,1049.5457,895.314,882.295,0.027778,0.013333,0.2,0,0,0,1301.1,3321.1,826.938,0.047619,0,0,0.026316,0.125,0.23529,915.3022,1044.212,938.0624,962.8821,871.9527,927.01
6,94.5946,100,92,96,1261.9543,1218.0256,1311.8977,704.49,924.33,2042.9333,1329.0475,931.9467,NaN,631.968,1161.15,1405.11,1207.446,1353.6929,NaN,1003.5,1386.4,2541.5,1002.5,916.31,NaN,219.84,-713.8858,529.182,-197.664,382.9,-1539,1376.6962,1112.79,1034.0217,1429.63,1225.292,1366.0263,0,0.026667,0.04,0,0.053333,0,NaN,1324.2,600.19,0,0,0,0.054054,0.090909,0,1202.0481,1398.8829,1144.67,1354.956,1478.4843,1117.5467
6,95.2703,97.2222,94.6667,92,1006.5485,1094.7242,1113.8369,764.0775,989.7,991.2867,1083.378,1115.8275,NaN,888.5014,989.2243,1070.1117,1144.93,1309.5167,NaN,1130.4367,758.205,1103.515,1263.9,1064.2,NaN,225.6225,92.0913,100.7229,74.8183,-372.2317,160.385,883.0867,1107.5627,1005.7795,1169.985,1353.285,1034.0208,0,0.026667,0.08,0.027778,0.026667,0,NaN,1010.505,1167.35,0,0,0.029412,0.02439,0,0.11111,959.0329,1117.4183,1038.5011,1246.0938,1103.1918,1137.256
6,95.2703,91.6667,98.6667,96,807.275,1067.9168,1145.3575,1499.03,810.51,772.14,749.1833,571.155,NaN,1073.322,864.0557,735.888,781.11,945.5183,NaN,1502.2,1406.07,1438,703.435,911.8,NaN,-688.52,-22.9567,-209.2663,45.222,-96.13,-734.565,905.6256,726.8064,1094.5295,1043.6183,1106.075,1168.927,0.027778,0,0.04,0.055556,0.013333,0,695.23,NaN,1150.1,0.052632,0,0,0,0.1,0,870.7936,659.065,968.53,1225.7665,1250.778,969.6567
6,96.6216,94.4444,98.6667,92,1185.3683,1542.2464,1614.315,837.9725,1049.0833,NaN,1710.1733,1384.728,NaN,1201.972,1265.23,1444.9,1422.2,1656.86,NaN,1743.0333,1236.6,1777.4,1875.25,855.15,NaN,211.1108,NaN,63.258,-22.7,-506.4333,97.85,894.54,1370.4409,1381.1116,1854.445,1401.4414,1827.1886,0.027778,0,0.04,0.027778,0.013333,0.04,435.8,NaN,881.53,0.058824,0,0,0,0,0.071429,1162.966,1213.3712,1363.0971,1806.2558,1534.516,1813.8125
6,93.2432,94.4444,94.6667,88,1599.515,1732.7395,1915.8462,1845.175,NaN,1419.9,1335.3,1465.2,NaN,1463.2,1942.4,1317.675,1980.85,2057.14,NaN,2527.25,2148.7,NaN,NaN,1653.2,NaN,NaN,-84.6,479.2,663.175,-378.55,NaN,1611.0778,1495.45,1465.3,1988.0227,1993.2714,1825.5167,0,0,0.04,0.055556,0.053333,0.08,NaN,NaN,1264.9,0,0,0,0,0.090909,0,1630.8429,1526.4167,1594.5483,2018.9929,1861.08,1950.075
6,95.9459,100,96,88,1128.3335,1086.926,878.27,1001.1925,948.2,1056.982,1381.6167,1101.348,NaN,744.6,1314.2233,1038.1333,877.57,1251.7825,NaN,871.47,822.2267,1238.19,695.44,985.175,NaN,-52.9925,324.6347,569.6233,-160.5633,-49.2433,-542.75,1036.9621,1270.4667,918.7721,1262.3909,801.978,916.416,0,0.026667,0.12,0,0.013333,0,NaN,442.3586,982.0633,0,0,0.027027,0.026316,0.25,0.058824,1145.6341,1079.315,998.8462,1274.8293,873.9445,890.165
6,95.2703,94.4444,97.3333,92,1142.9335,1141.6728,1263.2285,844.4767,757.06,1525.808,1637.7,911.6625,NaN,961.4657,902.7357,1561.174,1356.345,900.9786,NaN,926.55,1314.7,1526.5,2944,NaN,NaN,-87.4167,111.892,-58.73,-204.829,388.15,1417.5,1154.1727,1129.1967,1103.9225,1181.0643,2129.35,1105.7518,0,0.013333,0.08,0.055556,0.013333,0,NaN,614.55,763.705,0,0,0,0.02381,0.125,0.058824,1224.404,898.522,1157.3996,1120.4415,1282.3844,1220.1275
6,97.2973,97.2222,100,92,1171.5205,1113.6436,1095.9277,1270.31,1057.21,1344.0367,953.7233,1198.1,NaN,806.79,1127.725,1228.245,1288.55,1052.9713,NaN,2293,758.28,1262.64,1247.6,937.3767,NaN,-213.1,-390.3133,320.935,60.305,-1534.72,-15.04,1287.5846,1003.8722,1023.6356,1215.9255,1264.946,990.2912,0,0,0.08,0.027778,0,0,NaN,NaN,1013.575,0,0,0,0,0.18182,0,1165.604,1184.1986,1075.8613,1186.8469,1171.5014,1007.7583
6,95.2703,97.2222,96,92,1106.8775,1133.2842,993.9612,1267.6125,2333.1,747.03,1005.5125,896.458,NaN,967.9014,877.01,894.8867,1294.212,1269.0467,NaN,951.9633,657.24,977.95,1281.5,750.95,NaN,1065.4875,258.4825,-90.8914,399.3253,-294.7233,303.55,990.017,1223.738,931.6286,1303.9158,1155.9425,939.9675,0,0.013333,0.08,0.027778,0.026667,0,NaN,1449.6,1202.13,0,0,0.029412,0,0,0.11111,1230.7531,876.8229,982.6115,1464.764,1000.6145,979.324
6,85.8108,83.3333,88,80,1235.51,917.3629,1399.424,867.865,1685.794,813.2,2051.0633,693.365,NaN,796.58,824.1629,1163.222,1079.5533,854.935,NaN,1341.4333,1544.8,1492.275,1259.25,2394,NaN,817.929,1237.8633,27.5829,-83.6687,203.3667,-233.025,898.667,1572.353,934.4682,901.0013,1340.162,1429.055,0.11111,0.12,0.16,0.055556,0,0.04,2121.805,1058.3933,707.7775,0.10526,0.11765,0.1,0.13333,0.1,0.2,1359.7637,738.495,929.2679,884.6242,1307.1927,1653.06
4,81.0811,69.4444,88,80,1422.8008,1679.4714,2072.3182,1621.7333,883.96,1083.99,2377.5,1185.07,NaN,1766.6143,1570.9333,1589.62,1905.2333,2007.3167,NaN,NaN,1804.3,1637.7,1890.8,2498.9,NaN,-737.7733,1293.51,-195.681,315.6133,NaN,253.1,1336.0633,1617.96,1533.7545,1839.76,2296.2,1988.3625,0.027778,0.04,0.04,0.27778,0.08,0.16,651.73,1914.6567,2489.9,0,0.066667,0.027027,0.052632,0.125,0,1246.9883,1573.4971,1570.0885,1857.2187,2067.3714,2080.975
4,86.4865,75,90.6667,96,2329.3667,2050.3651,2497.8857,2616.15,1793.85,2039.02,2594.62,2952.3,NaN,1811.45,2229.6167,2440.8167,1939.7,1811.7625,NaN,NaN,2757.5,2289.7,3091.6,2149.35,NaN,-822.3,555.6,418.1667,-501.1167,NaN,801.9,2297.4625,2365.8286,2040.8696,2061.285,2515.52,2488.0889,0.027778,0.026667,0,0.22222,0.066667,0.04,2548.8,2804.3,NaN,0.047619,0,0.027027,0.026316,0,0,2047.1909,3105.35,2076.068,2014.6667,2502.28,2486.9
4,86.4865,75,93.3333,88,1351.52,945.3735,773.9043,944.61,1818.75,790.84,1052.4033,1843.27,NaN,715.5486,1003.325,999.9929,981.1867,1193.7937,NaN,794.88,549.435,907.18,1277.7,955.01,NaN,874.14,261.5633,287.7764,-18.8062,-245.445,370.52,1238.2322,1521.4517,794.378,1109.4991,884.666,712.37,0.027778,0.066667,0.08,0.22222,0,0.04,1269.3,673.244,608.465,0,0.066667,0,0.13158,0.125,0.058824,1105.645,1843.27,865.2659,1139.9207,736.7291,910.2133
4,72.973,69.4444,72,88,1627.7662,1923.1257,1992.4708,1615.175,1394.5,1334.5,1421.3867,1926.775,NaN,1218.368,1343.8075,3189.65,NaN,2181.05,NaN,2261.7,1894.1333,2513.35,1904.4,1446.76,NaN,-220.675,86.8867,125.4395,NaN,-367.5667,-608.95,1543.9125,1761.932,1866.9524,2009.9391,1955.664,2015.475,0.027778,0.013333,0.04,0.27778,0.26667,0.08,518.12,12.113,1011.3,0,0.066667,0,0.026316,0.125,0,1404.572,1767.2625,1275.8382,2341.9588,2296.8667,1731.56
4,81.7568,77.7778,84,80,1199.6245,1472.7789,1791.5892,873.74,1383.8,1471.936,887.1567,1419.3,NaN,939.3443,1057.8729,1627.98,2151.8,1481.7629,NaN,1150.9,1716.1,1702.1,1529.2,NaN,NaN,510.06,-584.7793,118.5286,523.82,565.2,-172.9,1145.6473,1265.5967,1275.0957,1679.4477,1622.65,1822.3055,0.16667,0.12,0.2,0.055556,0.04,0,1545.695,1461.5076,1597.638,0.16667,0.16667,0.090909,0.14286,0.375,0.11765,1209.7979,1175.8867,1387.717,1642.9027,1789.7782,1801.55
4,95.2703,100,94.6667,88,1276.5909,1208.057,1777.0247,1056.5775,1416.8,1209.634,1491.7167,1179.002,NaN,753.068,1041.49,1377.4317,1165.7,1286.1012,NaN,1796.1,2189.4,1560.85,3209.7,2249.75,NaN,360.2225,282.0827,288.422,-211.7317,393.3,1648.85,1180.6993,1425.7556,1142.0045,1274.1095,2406.14,1462.467,0,0,0.12,0,0.053333,0,NaN,NaN,1242.31,0,0,0,0,0,0.17647,1297.5518,1217.2017,1154.0721,1302.5306,1787.337,1756.4
4,47.973,58.3333,46.6667,36,1558.1785,1391.1921,1806.3533,1130.9,1412.9,1326.7333,1069.53,2388.15,NaN,975.568,1750.4,1328.9625,1259.6,1397.182,NaN,3687.7,NaN,1699.7,NaN,848.91,NaN,282,-257.2033,774.832,-69.3625,NaN,NaN,1820.6625,1138.204,1208.2493,1587.2021,1883.24,1729.4667,0.13889,0.29333,0.36,0.27778,0.24,0.28,1220.1622,1265.6597,1280.0091,0.1,0.1875,0.31579,0.27027,0.36364,0.35714,1687.0245,849.525,1315.0908,1756.478,1891.164,1382.3
4,95.9459,97.2222,94.6667,100,1439.45,1543.395,2256.7733,1353.625,1556.1,1454.58,1445.2333,1349.475,NaN,1509.1714,1400.8167,1678.16,1361.2,1533.75,NaN,1417.3,1950.2333,2176.7,1964.2,2111.9,NaN,202.475,-9.3467,-108.3548,-316.96,532.9333,-212.5,1437.1923,1442.7111,1463.2557,1631.1667,2179.08,2295.62,0,0,0,0.027778,0.053333,0,NaN,NaN,NaN,0,0,0,0,0,0,1429.85,1465.05,1433.603,1717.7706,2232.4444,2293.2667
4,41.8919,19.4444,53.3333,60,2212.9,1989.0156,1904.3469,NaN,NaN,NaN,NaN,2212.9,NaN,1789.092,2034.468,1979.9167,1668.475,1994.96,NaN,962.27,2348,2216.65,1913.8,NaN,NaN,NaN,NaN,245.376,-311.4417,1385.73,-302.85,3114.8,1311,1942.6033,2035.4278,2159.525,1790.9344,0.27778,0.28,0.28,0.52778,0.18667,0.12,1458.9405,1804.8884,1837.0686,0.29412,0.26316,0.23529,0.31707,0.28571,0.27778,2212.9,NaN,2015.2224,1543.5,2006.6058,677.24
4,82.4324,72.2222,90.6667,80,2482.9385,1762.1591,1831.3636,2769.3,2888.8,1859.2,1791.7,2950.25,NaN,1304.2971,2269.54,1811.46,2421.3333,1724.4763,NaN,1566.8,2488.9,1907.1,1380.6,1197.15,NaN,119.5,-67.5,965.2429,609.8733,922.1,-526.5,2466.4375,2509.34,1535.5361,2010.3652,1343.425,2110.1857,0,0.04,0.04,0.27778,0.053333,0.16,NaN,2077.9667,3195,0,0,0.054054,0.026316,0.125,0,2240.0667,2691.1143,1802.9452,1697.3812,1885.6857,1736.3
4,79.7297,80.5556,84,72,1868.2406,1634.391,1570.8555,1744.975,1842.95,1018.73,2706.75,1893.64,NaN,1277.76,1636.828,1478.6,1800.25,1803.925,NaN,1381,2223.5,1363.4,1326.6,1776.45,NaN,97.975,1688.02,359.068,321.65,842.5,-36.8,1759.7908,2128.52,1464.7755,1812.9337,1626.5,1549.9887,0.027778,0.04,0.12,0.16667,0.12,0.16,18.878,1157.046,1963.32,0,0.066667,0.027027,0.052632,0,0.17647,1817.2271,1903.95,1508.2068,1797.6882,1565.4887,1585.1667
4,84.4595,88.8889,85.3333,80,1689.118,1383.9877,1605.2079,2668.9,1437.4,1309.758,1298.0783,2145.8,NaN,1056.4243,1279.81,1417.3143,1530.5667,1426.9867,NaN,3160.6,2289.6667,1531.55,1336.6,1208.015,NaN,-1231.5,-11.6797,223.3857,113.2524,-870.9333,-194.95,1911.6408,1355.3338,1181.924,1649.8611,1609.646,1602.7422,0.027778,0.093333,0.16,0.083333,0.053333,0.04,1534.2,770.7271,1522.9575,0,0.066667,0.081081,0.10526,0,0.23529,1312.816,2065.42,1213.5791,1838.4108,1713.5255,1208.0433
4,72.973,77.7778,74.6667,64,1816.4222,1764.0017,2163.1571,1264.225,1729.6,1887.55,2105.14,2132.75,NaN,1539.1167,1932.2,2384.6,2388.4,1532.8767,NaN,NaN,NaN,2466.45,2842.3,2163.6,NaN,465.375,217.59,393.0833,3.8,NaN,375.85,1650.96,2023.25,1719.9818,1805.5761,2389.8333,1993.15,0.083333,0.08,0.04,0.13889,0.17333,0.32,1101.6258,475.0129,2.2942,0.095238,0.066667,0.054054,0.10526,0,0.058824,1650.225,2148.8167,1689.125,1863.8373,1979.9,2407.5
4,94.5946,97.2222,97.3333,88,1427.3573,1125.0785,1062.3033,1358.1333,1238.85,1265.712,1673.4833,1372.78,NaN,762.6114,940.7917,1334.8483,1360.9,1167.4963,NaN,1297,1234.04,1531.05,950.6,895.55,NaN,-119.2833,407.7713,178.1802,26.0517,-62.96,-580.45,1322.0662,1579.4444,1048.2329,1208.91,1145.82,1020.545,0,0,0.12,0.027778,0.026667,0,NaN,NaN,1614.97,0,0,0,0,0.125,0.11765,1432.5975,1413.3833,1072.1353,1224.3469,1109.2036,933.3275
4,89.1892,91.6667,85.3333,92,1439.4673,1653.1376,1754.1347,1118.1375,978.925,1791.32,1573.98,1345.896,NaN,1342.5483,1815.2,1664.2,1465.045,1482.1783,NaN,2282.8,1555.4,2289.8,1168.8,2066.175,NaN,-139.2125,-217.34,472.6517,-199.155,-727.4,-1121,1490.1993,1350.6862,1440.6962,1865.579,1790.87,1735.767,0.055556,0.066667,0.08,0.027778,0.08,0,6.5834,709.0039,1447.7,0.047619,0.066667,0.081081,0.052632,0.25,0,1422.2435,1498.028,1584.8075,1789.7979,1617.03,1959.7917
4,80.4054,88.8889,77.3333,80,1709.4511,1889.2894,1548.4833,1370.725,1372.3,2119.48,1552.3625,1366.38,NaN,1348.786,1791.8,1943.45,2276.6333,1686.3517,NaN,NaN,1659.2,2100.6,1916.1,1955.4,NaN,1.575,-567.1175,443.014,333.1833,NaN,-184.5,1769.4477,1579.4583,1797.8581,1970.5617,1703.7,1437.6143,0,0.04,0.08,0.11111,0.18667,0.12,NaN,1609.817,1327.8,0,0,0.054054,0.026316,0.125,0.058824,1685.2708,1750.9029,1688.202,2048.0426,1377.22,1670.8143
4,90.5405,100,93.3333,72,1206.265,1455.7059,1208.2025,817.9483,892.35,1112.82,1831.9667,1199.6975,NaN,927.4333,1442.8186,1378.4833,874.64,1870.05,NaN,993.52,783.88,1259,863.72,NaN,NaN,74.4017,719.1467,515.3852,-503.8433,-209.64,-395.28,951.9809,1460.5491,1346.6204,1586.6085,823.8,1285.083,0,0.013333,0.24,0,0.053333,0.04,NaN,968.19,1038.7745,0,0,0,0.02381,0.5,0.11765,1140.5493,1321.2675,1254.7379,1807.4,1109.49,1346.4
4,87.8378,80.5556,94.6667,88,1629.5795,1932.6591,1862.7423,1254.4975,1382.4,1285.95,1520.8833,2395.6667,NaN,1955.5571,1682.52,2238.3833,1979.9667,1954.35,NaN,NaN,1760.2667,1682.275,2596.8,3358.9,NaN,127.9025,234.9333,-273.0371,-258.4167,NaN,914.525,1725.1242,1486.2625,1933.4713,1931.81,2214.65,1706.3389,0.11111,0.013333,0.04,0.083333,0.04,0.08,2107.575,2875.9,1717.4,0.14286,0.066667,0.027027,0,0,0.058824,1559.5875,1909.5475,1848.9387,2100.1,1659.6071,2099.7333
4,95.2703,100,98.6667,84,2178.2696,2274.9106,2396.4714,1964.325,2234.55,2017.68,2482.7333,2276.48,NaN,2411.3,2438.2333,2406.7333,2225.2333,2100.7375,NaN,2544.5,2615.6,2480,2985.3,2260.9,NaN,270.225,465.0533,26.9333,-181.5,71.1,505.3,2061.9143,2359.2667,2258.1375,2292.413,2625.425,2304.89,0,0,0.12,0,0.013333,0.04,NaN,NaN,2451.4667,0,0,0,0,0.125,0.11765,2189.7733,2156.7,2315.0103,2210.3056,2424.6727,2293.0667
4,58.1081,66.6667,53.3333,68,1866.425,2198.8063,2372.8444,2062.2667,NaN,1531.35,2070.525,1802.8,NaN,1896.725,2454.2,2380.45,1987.7,2230.35,NaN,2509.5,3677,1486,2532.4,2311,NaN,NaN,539.175,557.475,-392.75,1167.5,1046.4,1764.375,2070.525,2056.2182,2512.5,2707.85,2104.84,0.027778,0.04,0.08,0.30556,0.42667,0.24,2302.3,2841.0333,3188.6,0,0.066667,0,0.078947,0,0.11765,1782.7571,1983.56,1907.5,2373.59,1997.75,2480.0143
4,88.5135,100,84,80,1222.8155,1663.6014,1815.2545,930.2667,1127.9,1250.36,1466.7667,1352.825,NaN,1362.3157,1917.3386,1926.0667,1543,1578.5,NaN,1671.9,1112.3,NaN,2054.4,NaN,NaN,197.6333,216.4067,555.0229,-383.0667,-559.6,NaN,1075.7636,1369.8673,1675.439,1649.6747,1583.35,1866.7889,0,0.013333,0.12,0,0.14667,0.08,NaN,1210.4,1849.5667,0,0,0.030303,0,0.125,0.11765,1157.44,1362.9057,1536.8132,1797.4333,1916.1571,1638.675
4,89.8649,94.4444,89.3333,80,1151.1248,1514.7193,1357.7318,948.3683,1201.7,1080.06,1476.78,1045.4825,NaN,852.1286,1039.1514,2031.1,1878.45,1378.5029,NaN,1005.6,771.63,1470.4,NaN,NaN,NaN,253.3317,396.72,187.0229,-152.65,-233.97,NaN,1001.045,1287.5609,1244.3395,1798.618,771.63,1416.342,0.027778,0.013333,0.12,0.027778,0.093333,0.08,1121.4,542.9,1090.7333,0.055556,0,0,0.02381,0.25,0.058824,1102.1157,1249.1429,1211.7305,1865.5484,1218.4588,1729.1267
4,72.973,88.8889,70.6667,52,1789.6768,1825.8517,1776.1143,1245.4867,1669.6333,2091.3,2041.55,1571.3667,NaN,2301.06,1464,2493.16,1466.1,1635.5,NaN,1265.7,1190,1899.3,1773.9,2230.5,NaN,424.1467,-49.75,-837.06,-1027.06,-75.7,-125.4,1567.886,2036.1111,2071.7278,1423.5091,1649.65,1826.7,0,0.053333,0.24,0.11111,0.24,0.24,NaN,1987.0725,1373.2817,0,0,0.052632,0.054054,0.27273,0.21429,1853.7889,1731.976,1961.0875,1659.4077,1995.42,1227.85
4,76.3514,69.4444,80,72,2206.4867,2271.3419,2691.3125,1463.075,3346.6,2810.35,2524.2,1457.1,NaN,1849.3,1432.35,2424.2714,2667.3,2695.9,NaN,3030.7,NaN,3078.5,NaN,2595.6,NaN,1883.525,-286.15,-416.95,243.0286,NaN,NaN,2099.5364,2500.6,2188.8435,2374.465,2715.575,2667.05,0.083333,0.053333,0.08,0.22222,0.14667,0.2,1661.7333,2720.575,2047.45,0.05,0.125,0.026316,0.081081,0.18182,0,2132.38,2354.7,2247.0335,2301.7275,2690.98,2691.8667
4,76.3514,66.6667,81.3333,76,2226.2,1425.653,1436.114,1553.025,3117.9,2332.3667,2458,1950.2,NaN,1135.9486,1243.0529,1647.8714,1603.93,1102.8,NaN,1235.1533,1709.25,1961.75,1366.6,1387.8,NaN,1564.875,125.6333,107.1043,-43.9414,474.0967,-595.15,1966.9,2615.15,1443.4467,1411.2812,1266.8333,1478.4342,0.16667,0.14667,0.2,0.16667,0.04,0.04,1546.4483,1470.4782,1766.08,0.058824,0.26316,0.11765,0.17073,0.14286,0.22222,2130.66,2417.28,1444.6327,1355.428,1429.2464,1455
4,62.1622,61.1111,66.6667,48,1277.41,1756.8221,1756.82,1099.7,566.12,1641.85,1190.57,NaN,NaN,1815,1554.7,1599.0029,1812.6,NaN,NaN,NaN,NaN,2551.4,NaN,NaN,NaN,-533.58,-451.28,-260.3,213.5971,NaN,NaN,1370.775,1215.1667,1713.1837,1810.5308,NaN,1756.82,0.083333,0.053333,0.08,0.30556,0.28,0.44,720.45,1082.265,1586.65,0.11765,0.052632,0.029412,0.073171,0.14286,0.055556,1078.5517,1575.6975,1639.7775,1900.8769,2008.65,1588.9333
4,84.4595,83.3333,84,84,1441.9612,1727.7462,2157.0308,1788.9,1171.3,1489.8333,1422.2133,1552.55,NaN,1360.4,1194.145,1298.5575,1954.1,2159.42,NaN,2511.45,3322.05,1886.85,1592.6,1905.7,NaN,-617.6,-67.62,-166.255,655.5425,810.6,-294.25,1533.6222,1338.8425,1484.2437,1984.7767,2122.92,2178.35,0.027778,0.053333,0.04,0.13889,0.10667,0.12,2503.8,2593.11,677.03,0.052632,0,0.066667,0.044444,0.1,0,1356.2267,1538.4125,1445.4222,2191.5643,1897.7429,2459.5333
4,79.0541,86.1111,76,84,1764.1737,1718.7706,1597.4433,2215.1,2232.1333,1676.8667,1286.5,1072.55,NaN,1252.95,1766.7,1488.9,1683.75,2248.6333,NaN,1522.6333,2431.9,1131.3,1276.875,NaN,NaN,17.0333,-390.3667,513.75,194.85,909.2667,145.575,1812.24,1710.7667,1523.1353,1914.4059,1577.1,1607.615,0.055556,0.093333,0.12,0.083333,0.14667,0.04,1693.6,1966.5429,1913.3833,0.10526,0,0,0.15556,0.1,0.13333,1925.6417,1487.3714,1552.585,1956.1786,1768.73,1254.87
4,71.6216,72.2222,70.6667,68,1456.2907,1564.2418,1581.19,1748.55,874.265,984.9467,1487.6333,1931.175,NaN,1330.6243,1590.4,1423.3483,2402.2,1618.0857,NaN,864.75,1860.3333,1167.4,3554.2,1224.7,NaN,-874.285,502.6867,259.7757,978.8517,995.5833,2386.8,1602.9425,1260.755,1469.0933,1678.42,2140.84,1270.2733,0.027778,0.24,0.28,0.25,0.053333,0.04,997.34,1516.0722,1522.4571,0,0.066667,0.24324,0.23684,0.25,0.29412,1266.337,1931.175,1525.7642,1807.9333,1566.8383,1667.3
4,66.2162,69.4444,61.3333,88,2070.4846,2112.63,2157.003,1532.65,NaN,2156.875,1654.8,3111.7,NaN,2920.7,NaN,1512.2,2149.6,2430.2,NaN,NaN,NaN,3690.4,1271.6,NaN,NaN,NaN,-502.075,NaN,637.4,NaN,-2418.8,1844.7625,2431.64,2154.25,2050.2,1271.6,2255.3811,0.055556,0.013333,0,0.25,0.37333,0.12,2143.495,2.0778,NaN,0.11111,0,0.030303,0,0,0,1650.0833,2430.8286,2407.3429,1953.9385,1710.866,2603.14
4,85.1351,88.8889,86.6667,80,1831.3721,1635.1764,1675.5067,1615.3,1492.6,1355.3,2193.5,2169.8333,NaN,1537.25,1457.825,1912.0814,1859.22,1330.1367,NaN,1454.3,1570.9,2345.5,2684.1,1566.5867,NaN,-122.7,838.2,-79.425,-52.8614,116.6,338.6,1802.3427,1871.2875,1601.2158,1680.4572,1450.105,1788.2075,0,0.066667,0.16,0.11111,0.066667,0.04,NaN,1745.722,1388.725,0,0,0.052632,0.081081,0.27273,0.071429,1572.5667,2064.297,1625.6832,1661.93,1628.1829,1741.76
4,86.4865,75,94.6667,88,1711.4608,1473.0592,1688.05,2202.8725,1697.9,1069.7,1680.8,1714.3333,NaN,981.0471,1735.8883,1385.43,1398.994,1449.9467,NaN,1154.4533,885.82,1902.45,2520,NaN,NaN,-504.9725,611.1,754.8412,13.564,-268.6333,617.55,1766.4271,1647.3333,1360.3023,1568.4688,2284.225,1449.58,0.027778,0.026667,0.04,0.22222,0.026667,0.08,2.5915,1653.715,2976.2,0,0.052632,0,0.04878,0,0.055556,1788.2129,1621.9167,1414.4016,1580.0229,1824.6455,1187.2
4,89.8649,91.6667,84,100,1534.7924,1493.6635,1323.6956,1549.4,1633.68,1218.495,1630.8333,1586.9,NaN,1159.794,1256.6114,1537.275,1215.2767,1636.932,NaN,1429.5,972.685,1831.25,1375.8,1821,NaN,84.28,412.3383,96.8174,-321.9983,-456.815,-455.45,1429.254,1630.7364,1469.3094,1513.5895,1177.935,1411.152,0.055556,0.093333,0,0.027778,0.066667,0,1663.0239,740.6579,NaN,0.052632,0.058824,0.033333,0.13333,0,0,1508.636,1600.1833,1457.1117,1548.4912,1261.6062,1592.75
4,94.5946,100,93.3333,88,1478.7457,1274.3695,1609.358,1623.4,1250.4,1711.85,1591.4,1582.925,NaN,1072.5025,1116.3357,1439.0329,1386.9833,1235.6,NaN,1274.4667,1345.7,NaN,2079,1931.45,NaN,-373,-120.45,43.8332,-52.0495,71.2333,NaN,1552.7067,1423.275,1289.7329,1260.3422,1498.44,1664.817,0,0.013333,0.08,0,0.053333,0.04,NaN,1386.8,1662.25,0,0,0.034483,0,0.1,0.066667,1491.3929,1453.4514,1246.9618,1356.5927,1700.025,1505.7386
